iter	Passed	Remaining
0	291	291107
1	432	215960
2	535	177868
3	597	148899
4	651	129570
5	693	114898
6	734	104238
7	777	96442
8	817	89985
9	859	85132
10	903	81269
11	955	78656
12	1010	76704
13	1056	74422
14	1110	72936
15	1174	72202
16	1214	70233
17	1253	68364
18	1291	66694
19	1334	65373
20	1380	64354
21	1422	63241
22	1464	62203
23	1507	61310
24	1556	60684
25	1604	60102
26	1651	59507
27	1695	58856
28	1736	58137
29	1786	57752
30	1835	57385
31	1885	57050
32	1933	56650
33	1985	56414
34	2032	56027
35	2082	55769
36	2129	55413
37	2170	54959
38	2220	54713
39	2265	54369
40	2307	53982
41	2352	53662
42	2399	53407
43	2441	53048
44	2479	52628
45	2522	52322
46	2566	52043
47	2609	51750
48	2651	51458
49	2694	51189
50	2736	50926
51	2781	50703
52	2824	50475
53	2867	50234
54	2909	49982
55	2959	49891
56	3005	49728
57	3049	49526
58	3094	49347
59	3144	49256
60	3198	49237
61	3251	49184
62	3297	49047
63	3346	48936
64	3393	48810
65	3438	48654
66	3481	48484
67	3523	48294
68	3564	48094
69	3608	47945
70	3647	47724
71	3689	47548
72	3725	47314
73	3764	47102
74	3805	46932
75	3849	46805
76	3893	46668
77	3939	46569
78	3990	46520
79	4035	46411
80	4079	46288
81	4122	46150
82	4164	46004
83	4206	45867
84	4249	45744
85	4291	45609
86	4333	45479
87	4375	45345
88	4418	45230
89	4462	45124
90	4504	44996
91	4551	44921
92	4593	44799
93	4634	44672
94	4678	44567
95	4720	44452
96	4760	44320
97	4801	44189
98	4842	44075
99	4885	43969
100	4932	43902
101	4978	43828
102	5019	43715
103	5062	43619
104	5106	43523
105	5147	43417
106	5190	43317
107	5230	43200
108	5273	43110
109	5319	43043
110	5359	42920
111	5402	42830
112	5441	42716
113	5482	42607
114	5521	42489
115	5561	42384
116	5607	42319
117	5651	42242
118	5694	42161
119	5736	42070
120	5776	41964
121	5818	41872
122	5861	41793
123	5902	41700
124	5946	41628
125	5987	41534
126	6030	41453
127	6070	41358
128	6108	41246
129	6150	41159
130	6193	41084
131	6239	41028
